userId,movieId,rating
1,80,3.0
1,60,3.5
1,257,3.0
1,133,2.5
1,238,3.0
1,186,2.0
1,220,5.0
1,92,2.5
1,42,3.0
1,214,3.5
1,138,2.5
1,160,3.0
1,192,4.0
1,213,3.5
1,81,3.5
1,108,3.0
1,260,4.0
1,153,2.5
1,85,4.5
1,184,3.0
1,71,3.5
1,222,3.5
1,11,3.5
1,237,4.0
1,163,5.0
1,106,3.5
1,267,3.5
1,72,4.0
1,65,3.5
1,18,3.5
1,159,4.5
1,217,3.5
1,194,3.0
1,123,4.5
1,234,3.0
1,30,3.5
1,90,3.5
1,187,3.5
1,273,3.5
1,181,4.5
1,199,3.5
1,224,2.5
1,117,3.0
1,265,3.5
1,207,1.5
1,98,4.0
1,114,2.5
1,231,3.0
1,101,2.5
1,48,3.5
1,247,2.5
1,148,4.0
1,145,2.0
1,191,3.5
1,255,4.5
1,34,3.0
1,95,4.0
1,14,4.5
1,122,4.0
1,142,2.5
2,209,3.0
2,172,2.0
2,123,3.0
2,150,4.0
2,174,3.5
2,72,3.0
2,248,2.0
2,279,4.0
2,228,3.5
2,271,3.0
2,102,3.5
2,275,3.5
2,24,3.0
2,140,2.5
2,43,4.5
2,137,3.5
2,201,4.0
2,205,4.5
2,134,2.0
2,106,1.5
2,59,2.5
2,122,3.0
2,88,4.0
2,61,4.0
2,215,4.5
3,136,2.0
3,31,2.5
3,34,3.0
3,51,3.0
3,226,1.5
3,140,2.5
3,278,2.5
3,257,2.5
3,230,4.0
3,139,3.0
3,236,4.5
3,40,2.0
3,32,3.5
3,168,3.5
3,151,2.5
3,67,2.0
3,81,3.5
3,5,3.0
3,258,2.5
3,205,3.5
3,267,3.5
3,276,4.0
3,130,3.5
3,209,2.0
3,117,5.0
3,234,4.5
3,240,2.0
3,41,2.0
3,3,1.5
3,71,3.5
3,177,3.0
3,118,3.0
3,2,2.0
3,239,5.0
3,223,3.0
3,142,3.0
3,15,3.5
3,252,2.0
3,159,3.0
3,23,3.0
4,70,2.5
4,193,3.5
4,259,2.5
4,182,4.5
4,257,2.0
4,83,4.0
4,48,3.0
4,4,1.5
4,214,4.0
4,33,2.5
4,274,2.0
4,200,4.0
4,59,2.0
4,226,3.0
4,51,4.0
4,148,3.5
4,31,2.5
4,219,2.5
4,247,1.5
4,255,4.0
4,1,3.5
4,238,3.5
4,157,3.0
4,227,2.5
4,140,3.5
4,172,2.0
4,164,5.0
4,218,2.5
4,23,4.5
4,17,3.5
4,152,3.5
4,91,4.0
